seriesCode,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
gci31_Nstrategy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,534783000,534783000,534783000,534783000,534783000,534783000,534783000,534783000,534783000,534783000,534783000,534783000,322795000,322795000,322795000,322795000,322795000,322795000,322795000,322795000,322795000,322795000,322795000,322795000,197383000.0,197383000.0,197383000.0,197383000.0,197383000.0,197383000.0,197383000.0,197383000.0,197383000.0,197383000.0,197383000.0,197383000.0
gci31_Npriority,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2388000,2388000,2388000,2388000,2388000,2388000,2388000,2388000,2388000,2388000,2388000,2388000,430878000,430878000,430878000,430878000,430878000,430878000,430878000,430878000,430878000,430878000,430878000,430878000,968181000.0,968181000.0,968181000.0,968181000.0,968181000.0,968181000.0,968181000.0,968181000.0,968181000.0,968181000.0,968181000.0,968181000.0
gci32_Acyber,41695836000.0,41695836000.0,41695836000.0,41695836000.0,41695836000.0,41695836000.0,41695836000.0,41695836000.0,41695836000.0,41695836000.0,41695836000.0,41695836000.0,94844361000.0,94844361000.0,94844361000.0,94844361000.0,94844361000.0,94844361000.0,94844361000.0,94844361000.0,94844361000.0,94844361000.0,94844361000.0,94844361000.0,65647135000,65647135000,65647135000,65647135000,65647135000,65647135000,65647135000,65647135000,65647135000,65647135000,65647135000,65647135000,4510299000,4510299000,4510299000,4510299000,4510299000,4510299000,4510299000,4510299000,4510299000,4510299000,4510299000,4510299000,45420156000.0,45420156000.0,45420156000.0,45420156000.0,45420156000.0,45420156000.0,45420156000.0,45420156000.0,45420156000.0,45420156000.0,45420156000.0,45420156000.0
gci32_Aciip,765053000.0,765053000.0,765053000.0,765053000.0,765053000.0,765053000.0,765053000.0,765053000.0,765053000.0,765053000.0,765053000.0,765053000.0,127214000.0,127214000.0,127214000.0,127214000.0,127214000.0,127214000.0,127214000.0,127214000.0,127214000.0,127214000.0,127214000.0,127214000.0,123625000,123625000,123625000,123625000,123625000,123625000,123625000,123625000,123625000,123625000,123625000,123625000,1294664000,1294664000,1294664000,1294664000,1294664000,1294664000,1294664000,1294664000,1294664000,1294664000,1294664000,1294664000,151000000000.0,151000000000.0,151000000000.0,151000000000.0,151000000000.0,151000000000.0,151000000000.0,151000000000.0,151000000000.0,151000000000.0,151000000000.0,151000000000.0
gci32_Acapacity,405490000.0,405490000.0,405490000.0,405490000.0,405490000.0,405490000.0,405490000.0,405490000.0,405490000.0,405490000.0,405490000.0,405490000.0,1422413000.0,1422413000.0,1422413000.0,1422413000.0,1422413000.0,1422413000.0,1422413000.0,1422413000.0,1422413000.0,1422413000.0,1422413000.0,1422413000.0,593853000,593853000,593853000,593853000,593853000,593853000,593853000,593853000,593853000,593853000,593853000,593853000,2223352000,2223352000,2223352000,2223352000,2223352000,2223352000,2223352000,2223352000,2223352000,2223352000,2223352000,2223352000,526641000.0,526641000.0,526641000.0,526641000.0,526641000.0,526641000.0,526641000.0,526641000.0,526641000.0,526641000.0,526641000.0,526641000.0
gci32_Acop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gci33_Maudit,679462000.0,679462000.0,679462000.0,679462000.0,679462000.0,679462000.0,679462000.0,679462000.0,679462000.0,679462000.0,679462000.0,679462000.0,1508083000.0,1508083000.0,1508083000.0,1508083000.0,1508083000.0,1508083000.0,1508083000.0,1508083000.0,1508083000.0,1508083000.0,1508083000.0,1508083000.0,586185000,586185000,586185000,586185000,586185000,586185000,586185000,586185000,586185000,586185000,586185000,586185000,1570952000,1570952000,1570952000,1570952000,1570952000,1570952000,1570952000,1570952000,1570952000,1570952000,1570952000,1570952000,2194877000.0,2194877000.0,2194877000.0,2194877000.0,2194877000.0,2194877000.0,2194877000.0,2194877000.0,2194877000.0,2194877000.0,2194877000.0,2194877000.0
gci33_Mrisk,1875199000.0,1875199000.0,1875199000.0,1875199000.0,1875199000.0,1875199000.0,1875199000.0,1875199000.0,1875199000.0,1875199000.0,1875199000.0,1875199000.0,3966463000.0,3966463000.0,3966463000.0,3966463000.0,3966463000.0,3966463000.0,3966463000.0,3966463000.0,3966463000.0,3966463000.0,3966463000.0,3966463000.0,1336723000,1336723000,1336723000,1336723000,1336723000,1336723000,1336723000,1336723000,1336723000,1336723000,1336723000,1336723000,2907305000,2907305000,2907305000,2907305000,2907305000,2907305000,2907305000,2907305000,2907305000,2907305000,2907305000,2907305000,1244030000.0,1244030000.0,1244030000.0,1244030000.0,1244030000.0,1244030000.0,1244030000.0,1244030000.0,1244030000.0,1244030000.0,1244030000.0,1244030000.0
gci33_Mmaturity,4325528000.0,4325528000.0,4325528000.0,4325528000.0,4325528000.0,4325528000.0,4325528000.0,4325528000.0,4325528000.0,4325528000.0,4325528000.0,4325528000.0,1990052000.0,1990052000.0,1990052000.0,1990052000.0,1990052000.0,1990052000.0,1990052000.0,1990052000.0,1990052000.0,1990052000.0,1990052000.0,1990052000.0,3862513000,3862513000,3862513000,3862513000,3862513000,3862513000,3862513000,3862513000,3862513000,3862513000,3862513000,3862513000,4980504000,4980504000,4980504000,4980504000,4980504000,4980504000,4980504000,4980504000,4980504000,4980504000,4980504000,4980504000,2673679000.0,2673679000.0,2673679000.0,2673679000.0,2673679000.0,2673679000.0,2673679000.0,2673679000.0,2673679000.0,2673679000.0,2673679000.0,2673679000.0
gci34_Copstrategy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gci34_Copreporting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gci41_AWmsme,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112326000.0,112326000.0,112326000.0,112326000.0,112326000.0,112326000.0,112326000.0,112326000.0,112326000.0,112326000.0,112326000.0,112326000.0,328993000,328993000,328993000,328993000,328993000,328993000,328993000,328993000,328993000,328993000,328993000,328993000,0,0,0,0,0,0,0,0,0,0,0,0,177341000.0,177341000.0,177341000.0,177341000.0,177341000.0,177341000.0,177341000.0,177341000.0,177341000.0,177341000.0,177341000.0,177341000.0
gci41_AWprivate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1065493000.0,1065493000.0,1065493000.0,1065493000.0,1065493000.0,1065493000.0,1065493000.0,1065493000.0,1065493000.0,1065493000.0,1065493000.0,1065493000.0,358791000,358791000,358791000,358791000,358791000,358791000,358791000,358791000,358791000,358791000,358791000,358791000,416533000,416533000,416533000,416533000,416533000,416533000,416533000,416533000,416533000,416533000,416533000,416533000,89549000.0,89549000.0,89549000.0,89549000.0,89549000.0,89549000.0,89549000.0,89549000.0,89549000.0,89549000.0,89549000.0,89549000.0
gci41_AWpublic,4320000.0,4320000.0,4320000.0,4320000.0,4320000.0,4320000.0,4320000.0,4320000.0,4320000.0,4320000.0,4320000.0,4320000.0,1197036000.0,1197036000.0,1197036000.0,1197036000.0,1197036000.0,1197036000.0,1197036000.0,1197036000.0,1197036000.0,1197036000.0,1197036000.0,1197036000.0,0,0,0,0,0,0,0,0,0,0,0,0,267800000,267800000,267800000,267800000,267800000,267800000,267800000,267800000,267800000,267800000,267800000,267800000,15194000.0,15194000.0,15194000.0,15194000.0,15194000.0,15194000.0,15194000.0,15194000.0,15194000.0,15194000.0,15194000.0,15194000.0
gci41_AWsociety,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1135930000.0,1135930000.0,1135930000.0,1135930000.0,1135930000.0,1135930000.0,1135930000.0,1135930000.0,1135930000.0,1135930000.0,1135930000.0,1135930000.0,455519000,455519000,455519000,455519000,455519000,455519000,455519000,455519000,455519000,455519000,455519000,455519000,1899721000,1899721000,1899721000,1899721000,1899721000,1899721000,1899721000,1899721000,1899721000,1899721000,1899721000,1899721000,212444000.0,212444000.0,212444000.0,212444000.0,212444000.0,212444000.0,212444000.0,212444000.0,212444000.0,212444000.0,212444000.0,212444000.0
gci41_AWgeneral,6112563000.0,6112563000.0,6112563000.0,6112563000.0,6112563000.0,6112563000.0,6112563000.0,6112563000.0,6112563000.0,6112563000.0,6112563000.0,6112563000.0,4107628000.0,4107628000.0,4107628000.0,4107628000.0,4107628000.0,4107628000.0,4107628000.0,4107628000.0,4107628000.0,4107628000.0,4107628000.0,4107628000.0,4536833000,4536833000,4536833000,4536833000,4536833000,4536833000,4536833000,4536833000,4536833000,4536833000,4536833000,4536833000,2115222000,2115222000,2115222000,2115222000,2115222000,2115222000,2115222000,2115222000,2115222000,2115222000,2115222000,2115222000,2600009000.0,2600009000.0,2600009000.0,2600009000.0,2600009000.0,2600009000.0,2600009000.0,2600009000.0,2600009000.0,2600009000.0,2600009000.0,2600009000.0
gci41_AWelderly,127131000.0,127131000.0,127131000.0,127131000.0,127131000.0,127131000.0,127131000.0,127131000.0,127131000.0,127131000.0,127131000.0,127131000.0,232360000.0,232360000.0,232360000.0,232360000.0,232360000.0,232360000.0,232360000.0,232360000.0,232360000.0,232360000.0,232360000.0,232360000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gci41_AWdisability,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174472000.0,174472000.0,174472000.0,174472000.0,174472000.0,174472000.0,174472000.0,174472000.0,174472000.0,174472000.0,174472000.0,174472000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gci41_AWcop,32460000.0,32460000.0,32460000.0,32460000.0,32460000.0,32460000.0,32460000.0,32460000.0,32460000.0,32460000.0,32460000.0,32460000.0,190376000.0,190376000.0,190376000.0,190376000.0,190376000.0,190376000.0,190376000.0,190376000.0,190376000.0,190376000.0,190376000.0,190376000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311868000.0,311868000.0,311868000.0,311868000.0,311868000.0,311868000.0,311868000.0,311868000.0,311868000.0,311868000.0,311868000.0,311868000.0
gci41_AWchildren,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,481127000.0,481127000.0,481127000.0,481127000.0,481127000.0,481127000.0,481127000.0,481127000.0,481127000.0,481127000.0,481127000.0,481127000.0,121473000,121473000,121473000,121473000,121473000,121473000,121473000,121473000,121473000,121473000,121473000,121473000,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gci42_Tprofessional,27475870000.0,27475870000.0,27475870000.0,27475870000.0,27475870000.0,27475870000.0,27475870000.0,27475870000.0,27475870000.0,27475870000.0,27475870000.0,27475870000.0,8411918000.0,8411918000.0,8411918000.0,8411918000.0,8411918000.0,8411918000.0,8411918000.0,8411918000.0,8411918000.0,8411918000.0,8411918000.0,8411918000.0,8744761000,8744761000,8744761000,8744761000,8744761000,8744761000,8744761000,8744761000,8744761000,8744761000,8744761000,8744761000,6745281000,6745281000,6745281000,6745281000,6745281000,6745281000,6745281000,6745281000,6745281000,6745281000,6745281000,6745281000,2999016000.0,2999016000.0,2999016000.0,2999016000.0,2999016000.0,2999016000.0,2999016000.0,2999016000.0,2999016000.0,2999016000.0,2999016000.0,2999016000.0
gci42_Tacreditation,555558000.0,555558000.0,555558000.0,555558000.0,555558000.0,555558000.0,555558000.0,555558000.0,555558000.0,555558000.0,555558000.0,555558000.0,1091908000.0,1091908000.0,1091908000.0,1091908000.0,1091908000.0,1091908000.0,1091908000.0,1091908000.0,1091908000.0,1091908000.0,1091908000.0,1091908000.0,533649000,533649000,533649000,533649000,533649000,533649000,533649000,533649000,533649000,533649000,533649000,533649000,1521804000,1521804000,1521804000,1521804000,1521804000,1521804000,1521804000,1521804000,1521804000,1521804000,1521804000,1521804000,1622650000.0,1622650000.0,1622650000.0,1622650000.0,1622650000.0,1622650000.0,1622650000.0,1622650000.0,1622650000.0,1622650000.0,1622650000.0,1622650000.0
gci42_Tsector,1518373000.0,1518373000.0,1518373000.0,1518373000.0,1518373000.0,1518373000.0,1518373000.0,1518373000.0,1518373000.0,1518373000.0,1518373000.0,1518373000.0,2000604000.0,2000604000.0,2000604000.0,2000604000.0,2000604000.0,2000604000.0,2000604000.0,2000604000.0,2000604000.0,2000604000.0,2000604000.0,2000604000.0,3679259000,3679259000,3679259000,3679259000,3679259000,3679259000,3679259000,3679259000,3679259000,3679259000,3679259000,3679259000,5946068000,5946068000,5946068000,5946068000,5946068000,5946068000,5946068000,5946068000,5946068000,5946068000,5946068000,5946068000,4005635000.0,4005635000.0,4005635000.0,4005635000.0,4005635000.0,4005635000.0,4005635000.0,4005635000.0,4005635000.0,4005635000.0,4005635000.0,4005635000.0
gci43_Cprimary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172120000,172120000,172120000,172120000,172120000,172120000,172120000,172120000,172120000,172120000,172120000,172120000,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
