origin,destination,weight
gci12_Rpdp,gci42_Tsector,-0.9880554602675529
gci12_Rpdp,gci43_Cprimary,-0.9880554636171518
gci12_Rpdp,gci43_Csecondary,-0.9880554636489483
gci12_Rpdp,gci43_Chigher,-0.9986559788477539
gci12_Rpdp,gci44_Evalscheme,-0.9938927981864834
gci12_Rpdp,gci52_Mcapacitydev,0.9999103221305333
gci12_Rpdp,gci53_Mlat,0.9992849820349832
gci12_Rpdp,gci54_PPPdomestic,0.9952091351508618
gci12_Rpdp,gci54_PPPforeign,0.9999972621022308
gci12_Rstandard,gci11_Lonline,-0.9999471971036283
gci12_Rstandard,gci11_Lforgery,0.9999164799988014
gci12_Rstandard,gci11_Lolsafety,0.9984375985782393
gci12_Rstandard,gci12_Rpdp,-0.9972185468466161
gci12_Rstandard,gci12_Rsign,0.9997442224333076
gci12_Rstandard,gci12_Rspam,0.9971764615799155
gci12_Rstandard,gci12_Rcop,0.9989735953150609
gci12_Rstandard,gci21_NatCsirt,0.992703423881573
gci12_Rstandard,gci21_Nactivity,0.9923575983859336
gci12_Rstandard,gci21_Nfirst,0.9894522101720197
gci12_Rstandard,gci21_NregCisrt,0.982862316766099
gci12_Rstandard,gci22_Scsirt,-0.9924095794770431
gci12_Rstandard,gci23_FStandard,-0.9998867388505985
gci12_Rstandard,gci23_Fciip,-0.9988411510009113
gci12_Rstandard,gci31_Nstrategy,0.9888861406393715
gci12_Rstandard,gci31_Npriority,-0.9935520498986161
gci12_Rstandard,gci32_Acyber,-0.9971638845813307
gci12_Rstandard,gci32_Aciip,-0.9981286392226976
gci12_Rstandard,gci41_AWmsme,0.9993593002385627
gci12_Rstandard,gci41_AWprivate,0.9996591781133918
gci12_Rstandard,gci41_AWpublic,0.9961152915027706
gci12_Rstandard,gci41_AWgeneral,-0.9887080869184877
gci12_Rstandard,gci41_AWcop,0.9989780662832195
gci12_Rstandard,gci41_AWchildren,0.995901055507244
gci12_Rstandard,gci42_Tprofessional,0.9971764619790745
gci12_Rstandard,gci42_Tacreditation,0.9971764619790748
gci12_Rstandard,gci42_Tsector,0.9971764606763113
gci12_Rstandard,gci43_Cprimary,0.9971764623086076
gci12_Rstandard,gci43_Csecondary,0.9971764623241023
gci12_Rstandard,gci43_Chigher,0.9913790950616047
gci12_Rstandard,gci44_Evalscheme,0.9819805135455183
gci12_Rstandard,gci52_Mcapacitydev,-0.9978123595787615
gci12_Rstandard,gci53_Mlat,-0.9991293307274396
gci12_Rstandard,gci54_PPPdomestic,-0.9998311846993087
gci12_Rstandard,gci54_PPPforeign,-0.9970207572331684
gci12_Rsign,gci11_Lonline,-0.9984747644672544
gci12_Rsign,gci11_Lforgery,0.9983250695342748
gci12_Rsign,gci11_Lolsafety,0.9999400971060967
gci12_Rsign,gci12_Rpdp,-0.999560749193438
gci12_Rsign,gci12_Rstandard,0.9927934995163148
gci12_Rsign,gci12_Rspam,0.9927935074663821
gci12_Rsign,gci12_Rcop,0.9959281234739978
gci12_Rsign,gci21_NatCsirt,0.9971199070896974
gci12_Rsign,gci21_Nactivity,0.9969008981623008
gci12_Rsign,gci21_Nfirst,0.9949631935230242
gci12_Rsign,gci21_NregCisrt,0.9901545123765259
gci12_Rsign,gci22_Scsirt,-0.9969340050077724
gci12_Rsign,gci23_FStandard,-0.9995527059916917
gci12_Rsign,gci23_Fciip,-0.9956685150613557
gci12_Rsign,gci31_Nstrategy,0.9945691732840347
gci12_Rsign,gci31_Npriority,-0.9976438523306711
gci12_Rsign,gci32_Acyber,-0.999538853441652
gci12_Rsign,gci32_Aciip,-0.9943714924083301
gci12_Rsign,gci41_AWmsme,0.9999580197680684
gci12_Rsign,gci41_AWprivate,0.9974755456967094
gci12_Rsign,gci41_AWpublic,0.9990665380347172
gci12_Rsign,gci41_AWgeneral,-0.9944443142558992
gci12_Rsign,gci41_AWcop,0.9959370266477673
gci12_Rsign,gci41_AWchildren,0.9989599726084972
gci12_Rsign,gci42_Tprofessional,0.9927935081033743
gci12_Rsign,gci42_Tacreditation,0.9927935081033744
gci12_Rsign,gci42_Tsector,0.9927935060243787
gci12_Rsign,gci43_Cprimary,0.9927935086292543
gci12_Rsign,gci43_Csecondary,0.9927935086539815
gci12_Rsign,gci43_Chigher,0.9962663016582638
gci12_Rsign,gci44_Evalscheme,0.9894821980221069
gci12_Rsign,gci52_Mcapacitydev,-0.9997753649104164
gci12_Rsign,gci53_Mlat,-0.999994786131641
gci12_Rsign,gci54_PPPdomestic,-0.9979949102017168
gci12_Rsign,gci54_PPPforeign,-0.9994800517027098
gci12_Rspam,gci11_Lonline,-0.9999471973696917
gci12_Rspam,gci11_Lforgery,0.9999164803334186
gci12_Rspam,gci11_Lolsafety,0.9984375971315024
gci12_Rspam,gci12_Rpdp,-0.9972185449168859
gci12_Rspam,gci12_Rstandard,0.9971764585424103
gci12_Rspam,gci12_Rsign,0.999744221847754
gci12_Rspam,gci12_Rcop,0.9989735964878248
gci12_Rspam,gci21_NatCsirt,0.9927034207596026
gci12_Rspam,gci21_Nactivity,0.992357595191113
